Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2019,I,Aquila heliaca,Aves,Falconiformes,Accipitridae,Aquila,CH,AT,UA,,1,bodies,,P,O
2019,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,IS,DK,XX,,252,specimens,,S,O
2019,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,IS,DK,XX,,30,specimens,,S,W
2019,I,Acipenser brevirostrum,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,CH,DE,CA,,2,live,,T,D
2019,I,Acipenser sturio,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,CH,DE,,,1,skins,,Q,I
2019,I,Acipenser sturio,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,JP,GB,XX,,1,bodies,,Q,O
2019,I,Ailurus fulgens,Mammalia,Carnivora,Ailuridae,Ailurus,CH,DE,,,1,bodies,,T,C
2019,I,Ailurus fulgens,Mammalia,Carnivora,Ailuridae,Ailurus,CH,DE,,,1,bones,,T,C
2019,I,Ailurus fulgens,Mammalia,Carnivora,Ailuridae,Ailurus,CH,DE,,,1,skulls,,T,C
2019,I,Ailurus fulgens,Mammalia,Carnivora,Ailuridae,Ailurus,NO,SE,,,1,live,,Z,C
2019,I,Alligator sinensis,Reptilia,Crocodylia,Alligatoridae,Alligator,CZ,CN,,5,,live,,T,D
2019,I,Melanosuchus niger,Reptilia,Crocodylia,Alligatoridae,Melanosuchus,CH,IT,XX,,1,bodies,,Q,O
2019,I,Melanosuchus niger,Reptilia,Crocodylia,Alligatoridae,Melanosuchus,IT,CH,XX,1,,bodies,,Q,O
2019,I,Asarcornis scutulata,Aves,Anseriformes,Anatidae,Asarcornis,GB,JE,,1,,bodies,,S,C
2019,I,Asarcornis scutulata,Aves,Anseriformes,Anatidae,Asarcornis,GB,JE,,2,,live,,Z,C
2019,I,Branta sandvicensis,Aves,Anseriformes,Anatidae,Branta,ID,NL,,,4,live,,T,C
2019,I,Araucaria araucana,,Pinales,Araucariaceae,Araucaria,CH,DE,CL,,1,live,,T,D
2019,I,Araucaria araucana,,Pinales,Araucariaceae,Araucaria,CH,IT,,,40,live,,T,D
2019,I,Araucaria araucana,,Pinales,Araucariaceae,Araucaria,NL,CL,,91300,,live,,T,D
2019,I,Araucaria araucana,,Pinales,Araucariaceae,Araucaria,RU,IT,,,18,live,,T,D
2019,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,DK,GL,,1,,baleen,,P,O
2019,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,DK,GL,,2,,baleen,,P,W
2019,I,Eubalaena australis,Mammalia,Cetacea,Balaenidae,Eubalaena,GB,FK,,0.96,,baleen,kg,S,W
2019,I,Eubalaena australis,Mammalia,Cetacea,Balaenidae,Eubalaena,GB,FK,,0.67,,specimens,kg,S,W
2019,I,Balaenoptera borealis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,GB,FK,,0.90,,baleen,kg,S,W
2019,I,Balaenoptera borealis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,GB,FK,,0.63,,specimens,kg,S,W
2019,I,Balaenoptera physalus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,ES,IS,,400,,specimens,,S,W
2019,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,ES,IS,,0.025,,specimens,kg,S,W
2019,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,GB,GS,,0.62,,specimens,kg,S,W
2019,I,Acrantophis dumerili,Reptilia,Serpentes,Boidae,Acrantophis,AM,PL,,,3,live,,Z,F
2019,I,Acrantophis madagascariensis,Reptilia,Serpentes,Boidae,Acrantophis,JE,PL,,,2,live,,Z,C
2019,I,Boa constrictor occidentalis,Reptilia,Serpentes,Boidae,Boa,DE,CH,,6,,live,,P,C
2019,I,Boidae spp.,Reptilia,Serpentes,Boidae,,AT,MZ,,2,,trophies,,H,W
2019,I,Sanzinia madagascariensis,Reptilia,Serpentes,Boidae,Sanzinia,CH,DE,,,2,live,,T,C
2019,I,Addax nasomaculatus,Mammalia,Artiodactyla,Bovidae,Addax,DK,US,,1,,trophies,,H,F
2019,I,Addax nasomaculatus,Mammalia,Artiodactyla,Bovidae,Addax,GB,AE,,88,,specimens,ml,S,F
2019,I,Addax nasomaculatus,Mammalia,Artiodactyla,Bovidae,Addax,SK,CA,,1,,trophies,,P,F
2019,I,Bos gaurus,Mammalia,Artiodactyla,Bovidae,Bos,CZ,IN,,4,,live,,Z,C
2019,I,Bos gaurus,Mammalia,Artiodactyla,Bovidae,Bos,GB,CH,XX,2,,horn carvings,,T,O
2019,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,DE,US,,3,,trophies,,H,F
2019,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,ES,TJ,,1,,trophies,,H,W
2019,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,IT,PK,,1,,trophies,,H,W
2019,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,PH,DE,PK,,1,trophies,,H,W
2019,I,Capra falconeri heptneri,Mammalia,Artiodactyla,Bovidae,Capra,ES,TJ,,1,,trophies,,H,W
2019,I,Capra falconeri heptneri,Mammalia,Artiodactyla,Bovidae,Capra,TR,SK,,,2,bodies,,H,C
2019,I,Capricornis sumatraensis,Mammalia,Artiodactyla,Bovidae,Capricornis,ID,NL,XX,,1,horns,,E,O
2019,I,Hippotragus niger,Mammalia,Artiodactyla,Bovidae,Hippotragus,ID,DK,,,2,live,,Z,C
2019,I,Hippotragus niger variani,Mammalia,Artiodactyla,Bovidae,Hippotragus,US,GB,XX,,1,trophies,,T,O
2019,I,Nanger dama,Mammalia,Artiodactyla,Bovidae,Nanger,GB,AE,,90,,specimens,ml,S,F
2019,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,DE,ZA,,3,,trophies,,H,F
2019,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,DK,US,,1,,trophies,,H,F
2019,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,DK,ZA,,17,,trophies,,H,F
2019,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,DK,ZA,,2,,trophies,,H,W
2019,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,ES,ZA,,8,,trophies,,H,F
2019,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,ES,ZA,,1,,trophies,,H,W
2019,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,GB,AE,,429,,specimens,ml,S,F
2019,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,GB,ZA,,5,,trophies,,H,F
2019,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,HR,US,,1,,trophies,,H,F
2019,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,HU,ZA,,7,,trophies,,H,F
2019,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,MK,HU,,,1,trophies,,Z,F
2019,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,PL,ZA,,2,,trophies,,H,F
2019,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,RU,ES,ZA,,1,trophies,,H,F
2019,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,SE,ZA,,1,,trophies,,H,F
2019,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,SK,ZA,,1,,trophies,,H,F
2019,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,UY,ES,ZA,,2,trophies,,H,F
2019,I,Oryx leucoryx,Mammalia,Artiodactyla,Bovidae,Oryx,DK,AE,,1,,trophies,,H,C
2019,I,Oryx leucoryx,Mammalia,Artiodactyla,Bovidae,Oryx,GB,AE,,78,,specimens,ml,S,F
2019,I,Oryx leucoryx,Mammalia,Artiodactyla,Bovidae,Oryx,RO,AE,,2,,trophies,,H,C
2019,I,Aceros nipalensis,Aves,Coraciiformes,Bucerotidae,Aceros,US,GB,XX,,1,skulls,,T,O
2019,I,Buceros bicornis,Aves,Coraciiformes,Bucerotidae,Buceros,NL,SG,XX,1,,live,,Z,U
2019,I,Cacatua goffiniana,Aves,Psittaciformes,Cacatuidae,Cacatua,GB,US,,1,,live,,P,F
2019,I,Cacatua goffiniana,Aves,Psittaciformes,Cacatuidae,Cacatua,GB,ZA,,1,,live,,P,C
